ID_UMKM,Business_Name,Province,City,Business_Sector,Business_Age,Number_of_Employees,Annual_Revenue,Digital_Sales_Percentage,Owner_Age,Owner_Gender,Education,Legal_Status,DC1,DC2,DC3,DC4,DC5,IC1,IC2,IC3,IC4,IC5,EO1,EO2,EO3,EO4,EO5,OA1,OA2,OA3,OA4,OA5,RA1,RA2,RA3,RA4,RA5,ED1,ED2,ED3,ED4,ED5,BR1,BR2,BR3,BR4,BR5,BR6,BR7
UMKM-089,Usaha K89,DKI Jakarta,Jakarta Pusat,Perdagangan Eceran,4.0,16,17112614,64.1,59,Perempuan,SMA/SMK,Tidak Berbadan Hukum,4,5,4,5,5,3,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2
UMKM-090,Usaha L90,Jawa Tengah,Yogyakarta,Manufaktur,2.8,5,20446942,37.9,49,Perempuan,Diploma (D1-D3),Koperasi,3,3,3,3,3,2,2,2,2,3,3,4,4,3,3,2,2,3,2,2,1,2,2,2,1,4,4,4,4,4,2,2,2,2,2,2,2
UMKM-091,Usaha M91,Kalimantan Timur,Bontang,Pertanian & Pangan,3.0,9,71854346,5.0,46,Laki-laki,SMA/SMK,CV,2,2,2,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,3,2,3,2,3,3,3,3,3,2,2,1,2,2,1,2,2
UMKM-092,Usaha N92,DKI Jakarta,Jakarta Barat,Teknologi & Digital,11.2,2,71736015,7.9,30,Perempuan,Sarjana (S1),Tidak Berbadan Hukum,2,2,1,2,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,1,2,1,2,4,4,5,3,4,1,2,2,1,1,1,1
UMKM-093,Usaha O93,Jawa Tengah,Solo,Fashion & Tekstil,16.0,1,19297067,51.8,51,Laki-laki,Sarjana (S1),PT,1,2,2,2,2,1,2,2,2,2,3,3,3,2,3,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,2,1
UMKM-094,Usaha P94,Bali,Badung,Perdagangan Eceran,0.5,4,30075191,13.2,37,Laki-laki,Sarjana (S1),Tidak Berbadan Hukum,4,4,4,4,3,4,3,4,4,4,4,5,4,4,4,3,3,3,2,3,2,2,3,2,2,3,2,3,3,2,2,3,3,3,3,3,2
UMKM-095,Usaha Q95,Bali,Badung,Perdagangan Eceran,1.4,8,365277263,44.0,30,Perempuan,SMA/SMK,Tidak Berbadan Hukum,2,3,3,3,2,3,2,3,3,3,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,3,4,3,2,2,2,2,2,2,2
UMKM-096,Usaha R96,Bali,Denpasar,Kerajinan Tangan,6.7,5,19700258,10.3,47,Laki-laki,SMA/SMK,Usaha Dagang (UD),5,5,5,5,5,4,4,4,5,4,3,2,3,4,3,3,4,3,4,4,2,3,3,3,2,3,3,4,4,2,4,3,4,3,4,4,4
UMKM-097,Usaha S97,Jawa Tengah,Solo,Jasa & Konsultasi,2.7,1,394435231,35.2,28,Perempuan,Sarjana (S1),CV,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,2,2,2,1,2,2,1,1,1,2,3,4,4,4,4,2,2,2,2,2,2,2
UMKM-098,Usaha T98,DKI Jakarta,Jakarta Pusat,Manufaktur,1.8,10,149738400,35.1,34,Perempuan,Diploma (D1-D3),PT,2,1,2,2,1,3,3,3,3,3,5,5,5,4,4,3,2,2,3,3,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2
UMKM-099,Usaha U99,Bali,Denpasar,Manufaktur,2.1,6,315762065,5.1,41,Perempuan,SMA/SMK,Tidak Berbadan Hukum,4,4,4,3,4,3,3,3,4,3,2,2,3,3,3,3,3,3,2,3,4,3,3,4,3,5,5,5,5,4,2,2,2,2,2,2,2
UMKM-100,Usaha V100,Sumatera Utara,Binjai,Kuliner,2.3,1,18720198,17.3,64,Laki-laki,Sarjana (S1),Koperasi,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,4,4,4,4,4,2,2,2,1,2,2,2
